phase,dayno,mood_relaxed,mood_down,mood_irritat,mood_satisfi,mood_lonely,mood_anxious,mood_enthus,mood_suspic,mood_cheerf,mood_guilty,mood_doubt,mood_strong,pat_restl,pat_agitate,pat_worry,pat_concent,se_selflike,se_ashamed,se_selfdoub
2,256,4,0,2,5,0,0,4,1,5,0,2,5,1,2,1,5,5,1,2
2,257,4,2,2,3,1,0,3,2,3,1,3,3,1,3,3,5,5,2,4
2,257,3,0,3,3,0,0,3,1,3,0,1,3,2,3,2,5,5,1,3
2,257,5,1,1,4,0,0,4,1,4,0,2,4,2,2,1,4,5,1,2
2,257,4,-1,1,5,-1,-1,6,1,5,0,1,5,1,1,1,5,5,1,1
2,257,5,-1,1,5,-1,-1,6,1,5,-1,1,6,1,1,1,5,5,1,1
2,257,5,-1,1,6,-1,-1,6,1,5,-1,1,5,1,1,1,5,5,1,1
2,257,5,-1,1,6,-1,-1,5,1,6,0,1,5,1,1,1,5,5,1,1
2,257,5,0,1,6,-1,-1,6,1,6,-1,1,5,1,1,1,5,5,1,1
2,257,6,-1,1,5,0,0,5,1,5,0,1,5,1,1,1,5,1,1,1
2,257,4,0,1,4,0,0,4,1,4,0,1,4,1,1,1,3,5,1,2
2,258,5,-1,1,6,-1,0,5,1,5,0,1,6,1,1,1,5,5,1,1
2,258,5,0,2,5,0,0,4,1,5,0,1,6,1,2,1,5,5,1,1
2,258,4,-1,2,5,-1,-1,6,1,5,0,1,5,1,3,1,5,5,1,1
2,258,4,0,2,5,0,0,4,1,5,0,1,5,2,2,1,4,5,1,1
2,258,3,0,3,4,0,0,4,1,5,0,1,5,2,2,1,5,5,1,1
2,258,3,0,3,5,0,0,4,1,5,0,1,5,3,2,1,5,5,1,1
2,258,3,-1,3,5,0,0,5,1,5,0,1,5,3,2,1,5,5,1,1
2,259,4,0,2,5,0,0,5,1,5,0,1,5,1,2,1,5,5,1,1
2,259,4,0,2,5,0,0,4,1,4,0,2,3,2,2,1,3,5,1,2
2,259,3,0,2,3,0,0,3,1,3,0,2,3,2,2,1,3,5,1,3
2,259,3,0,3,4,0,0,3,1,4,0,1,4,3,2,1,4,5,1,2
2,259,3,0,3,3,0,0,3,1,4,0,2,4,3,2,1,4,5,1,2
2,259,3,0,4,2,0,0,3,1,4,-2,3,3,4,3,1,4,4,2,3
2,259,2,0,4,3,0,0,3,1,3,1,3,3,3,3,1,3,4,1,3
2,259,4,0,1,5,0,0,5,1,5,0,1,5,1,2,1,5,5,1,1
2,259,4,0,1,4,0,0,4,1,4,0,1,4,1,1,1,4,4,1,1
2,259,4,0,2,3,0,0,3,1,4,0,1,4,1,1,1,4,4,1,2
2,260,4,-1,1,5,-1,-1,5,1,5,-1,1,5,1,1,1,5,5,1,1
2,260,4,1,2,4,0,0,3,1,4,0,1,4,1,2,1,4,5,1,2
2,260,4,0,2,5,0,0,5,1,5,0,1,5,1,1,1,5,5,1,1
2,260,3,0,3,3,0,0,3,1,3,0,2,3,3,2,1,4,5,1,3
2,260,3,0,3,4,0,0,4,1,4,0,2,5,3,3,1,4,5,1,1
2,260,5,-1,2,5,0,0,4,1,5,0,1,5,1,2,1,5,5,1,1
2,260,3,-1,2,5,0,0,5,1,5,0,1,5,2,1,1,5,5,1,1
2,260,4,0,2,4,0,0,3,1,4,0,1,4,2,2,1,4,5,1,1
2,260,3,0,4,3,0,0,4,1,4,0,2,4,2,4,1,4,5,1,2
2,261,4,1,2,3,0,0,3,1,4,0,2,3,2,2,1,4,4,1,2
2,261,2,1,3,3,0,0,3,1,4,0,2,3,2,2,1,4,5,1,2
2,261,4,0,2,5,0,0,5,1,4,0,2,5,2,1,1,5,5,1,1
2,261,5,0,1,6,0,0,5,1,5,0,1,5,1,1,1,5,5,1,1
2,261,3,0,2,4,0,0,3,1,4,0,2,3,1,2,1,4,5,1,2
2,261,3,0,3,5,0,0,4,1,4,0,2,4,1,3,1,5,5,1,2
2,261,3,0,4,3,0,0,4,1,4,0,1,3,3,4,1,4,5,1,3
2,261,5,0,1,5,0,0,5,1,5,0,1,5,1,1,1,5,5,1,1
2,261,5,-1,1,6,-1,-1,5,1,5,-1,1,5,1,1,1,5,5,1,1
2,261,5,0,2,3,0,0,3,1,3,0,2,4,2,2,1,4,4,1,2
2,262,3,1,3,3,0,0,3,1,3,0,2,3,2,3,1,4,5,1,3
2,262,3,0,3,3,0,0,3,1,3,0,2,3,2,2,1,4,4,1,2
2,262,4,1,2,4,0,0,3,1,3,0,2,3,1,2,1,3,4,1,2
2,262,4,0,1,5,0,0,5,1,5,0,2,5,1,1,1,5,5,1,1
2,262,3,0,3,3,0,0,3,1,3,0,3,3,3,3,1,4,4,2,3
2,262,4,0,4,3,0,0,3,1,4,0,3,3,4,3,1,4,5,2,3
2,262,3,1,3,3,0,0,3,1,4,0,3,3,4,3,1,4,4,1,2
2,262,4,0,1,4,0,0,4,1,3,0,1,4,1,2,1,4,4,1,1
2,263,4,1,2,3,0,0,3,1,4,0,2,5,1,2,1,4,5,1,2
2,263,3,1,2,3,0,0,3,1,3,0,3,3,2,2,1,4,5,1,3
2,263,4,0,2,4,0,0,3,2,4,0,3,4,3,2,1,4,4,1,3
2,263,3,0,4,4,0,0,3,1,3,0,1,4,3,3,1,5,5,1,3
2,263,3,0,3,4,0,0,5,1,3,0,2,4,2,3,1,5,5,1,2
2,263,4,-1,2,5,-1,0,5,1,5,0,1,5,2,2,1,5,5,1,1
2,263,5,-1,1,6,-1,-1,5,1,5,-1,1,5,1,1,1,5,5,1,1
2,263,5,-2,1,6,-1,-1,5,1,5,-1,1,5,2,1,1,5,5,1,1
2,263,4,0,2,4,0,0,4,2,4,0,1,4,2,2,1,5,5,1,2
2,264,5,1,2,5,0,-1,4,1,3,-1,2,4,1,1,2,4,4,1,3
2,264,3,1,2,4,0,0,3,1,4,0,2,4,2,2,1,5,5,1,2
2,264,4,0,3,5,-1,-1,4,1,3,-1,1,4,1,2,1,5,5,1,2
2,264,2,0,4,3,0,0,3,1,4,0,2,3,3,4,1,5,4,1,3
2,264,4,0,1,5,0,0,5,1,5,0,1,5,1,1,1,5,5,1,1
2,264,4,0,1,5,0,0,3,1,4,0,2,4,2,2,1,4,5,1,2
2,265,5,0,1,5,0,0,5,5,5,0,1,5,1,2,1,5,5,1,1
2,265,5,0,3,4,-1,-1,4,1,4,-1,2,5,2,2,1,5,5,1,1
2,265,5,-1,1,5,-1,-1,5,1,5,-1,1,6,1,1,1,5,5,1,1
2,265,5,0,2,4,0,0,4,1,4,0,1,3,2,2,1,4,5,1,3
